model_id,run_name,edit_dist_experiment,edit_dist_model
claude-haiku-4-5-20251001,1claude_babdd87e,,32
claude-haiku-4-5-20251001,2claude_8c149af1,,32
claude-haiku-4-5-20251001,3claude_d494caf1,,32
claude-opus-4-6,1claude_d3a9b8d9,,19
claude-opus-4-6,2claude_3dbd1e56,,21
claude-opus-4-6,3claude_388655a0,,19
claude-sonnet-4-6,1claude_d026581c,,27
claude-sonnet-4-6,2claude_1a1beb3d,,27
claude-sonnet-4-6,3claude_ec3aa0b8,,29
gpt-5.4-2026-03-05,1openai_616a1f0f,,23
gpt-5.4-2026-03-05,2openai_aedcddd4,,29
gpt-5.4-2026-03-05,3openai_8d48fa8b,,29
gpt-5.4-mini-2026-03-17,1openai_0dcb5e65,,22
gpt-5.4-mini-2026-03-17,2openai_d8024f8c,,21
gpt-5.4-mini-2026-03-17,3openai_2bc90961,,24
gpt-5.4-nano-2026-03-17,1openai_9709cda9,,30
gpt-5.4-nano-2026-03-17,2openai_ba382598,,34
gpt-5.4-nano-2026-03-17,3openai_d7456771,,30
models/gemini-2.5-flash,1gemini_d6e5d9a6,,19
models/gemini-2.5-flash,2gemini_0bd52f2f,,24
models/gemini-2.5-flash,3gemini_4f31dcac,,19
models/gemini-2.5-flash-lite,1gemini_c79fa355,,37
models/gemini-2.5-flash-lite,2gemini_2b212c52,,37
models/gemini-2.5-flash-lite,3gemini_67df58ae,,36
models/gemini-2.5-pro,1gemini_571b49a8,,16
models/gemini-2.5-pro,2gemini_b08fb0e3,,17
models/gemini-2.5-pro,3gemini_117db79b,,15
