model_id,run_name,num_categories,num_subcategories,num_games,dist_min,dist_mean,dist_max,dist_stdev,avg_path_length,num_edges,num_nodes,recall,precision,f1,num_hallucinations,hallucinated_names
claude-haiku-4-5-20251001,1claude_babdd87e,5,8,42,0,8.4,17,6.11,3.0,55,56,1.0,1.0,1.0,0,
claude-haiku-4-5-20251001,2claude_8c149af1,5,12,42,6,8.4,11,2.07,3.0,59,60,1.0,1.0,1.0,0,
claude-haiku-4-5-20251001,3claude_d494caf1,6,11,42,0,7,12,4.52,3.0,59,60,1.0,1.0,1.0,0,
claude-opus-4-6,1claude_d3a9b8d9,5,10,42,1,8.4,14,5.68,2.98,57,58,1.0,1.0,1.0,0,
claude-opus-4-6,2claude_3dbd1e56,7,11,42,1,6,14,5.29,2.9,60,61,1.0,1.0,1.0,0,
claude-opus-4-6,3claude_388655a0,7,13,42,1,6,13,5.16,2.9,62,63,1.0,1.0,1.0,0,
claude-sonnet-4-6,1claude_d026581c,7,21,42,1,6,11,4.08,3.0,70,71,1.0,1.0,1.0,0,
claude-sonnet-4-6,2claude_1a1beb3d,5,14,42,3,8.4,12,3.91,3.0,61,62,1.0,1.0,1.0,0,
claude-sonnet-4-6,3claude_ec3aa0b8,6,12,42,0,7,13,5.69,3.0,60,61,1.0,1.0,1.0,0,
gpt-5.4-2026-03-05,1openai_616a1f0f,1,6,38,38,38,38,0.0,4.0,56,57,1.0,1.0,1.0,0,
gpt-5.4-2026-03-05,2openai_aedcddd4,6,10,42,1,7,22,7.77,2.95,58,59,1.0,1.0,1.0,0,
gpt-5.4-2026-03-05,3openai_8d48fa8b,6,12,42,0,7,18,7.67,3.0,60,61,1.0,1.0,1.0,0,
gpt-5.4-mini-2026-03-17,1openai_0dcb5e65,5,0,41,4,8.2,13,3.42,2.0,46,47,0.9762,1.0,0.988,0,
gpt-5.4-mini-2026-03-17,2openai_d8024f8c,1,7,41,41,41,41,0.0,3.0,49,50,0.9762,1.0,0.988,0,
gpt-5.4-mini-2026-03-17,3openai_2bc90961,9,0,41,0,4.56,14,6.0,2.0,50,51,0.9762,1.0,0.988,0,
gpt-5.4-nano-2026-03-17,1openai_9709cda9,10,0,40,0,4,15,4.71,2.0,50,51,0.9524,1.0,0.9756,0,
gpt-5.4-nano-2026-03-17,2openai_ba382598,13,0,42,0,3.23,11,3.22,2.0,55,56,1.0,0.9767,0.9882,1, Nurtitwin
gpt-5.4-nano-2026-03-17,3openai_d7456771,12,0,42,2,3.5,7,1.62,2.0,54,55,1.0,1.0,1.0,0,
models/gemini-2.5-flash,1gemini_d6e5d9a6,4,7,41,1,10.25,17,6.7,3.34,54,55,0.9762,0.9762,0.9762,1,Hashiwokakero (Bridges)
models/gemini-2.5-flash,2gemini_0bd52f2f,3,5,42,9,14,19,5.0,3.0,50,51,1.0,1.0,1.0,0,
models/gemini-2.5-flash,3gemini_4f31dcac,4,9,42,3,10.5,17,5.74,3.0,55,56,1.0,1.0,1.0,0,
models/gemini-2.5-flash-lite,1gemini_c79fa355,2,5,41,6,20.5,35,20.51,3.0,48,49,0.9762,1.0,0.988,0,
models/gemini-2.5-flash-lite,2gemini_2b212c52,5,10,41,2,8.2,13,4.21,3.73,68,69,0.9762,1.0,0.988,0,
models/gemini-2.5-flash-lite,3gemini_67df58ae,2,5,42,1,21,41,28.28,4.0,57,58,1.0,1.0,1.0,0,
models/gemini-2.5-pro,1gemini_571b49a8,5,4,41,3,8.2,12,3.56,2.49,50,51,1.0,1.0,1.0,0,
models/gemini-2.5-pro,2gemini_b08fb0e3,6,2,42,4,7,12,2.97,2.29,50,51,1.0,1.0,1.0,0,
models/gemini-2.5-pro,3gemini_117db79b,4,10,42,5,10.5,13,3.79,3.0,56,57,1.0,1.0,1.0,0,
