model_id,run_name,edit_dist_experiment,edit_dist_model
claude-haiku-4-5-20251001,10claude_cb246bb6,38,2
claude-haiku-4-5-20251001,1claude_72b8d0c0,38,0
claude-haiku-4-5-20251001,2claude_42bb2804,38,0
claude-haiku-4-5-20251001,3claude_35fac96a,38,0
claude-haiku-4-5-20251001,4claude_6fadbad4,38,0
claude-haiku-4-5-20251001,5claude_2b0ad018,38,0
claude-haiku-4-5-20251001,6claude_14c9ca1d,38,0
claude-haiku-4-5-20251001,7claude_224a6579,38,6
claude-haiku-4-5-20251001,8claude_aaee8e18,38,0
claude-haiku-4-5-20251001,9claude_a503be5b,38,0
claude-opus-4-6,10claude_ff66332b,38,17
claude-opus-4-6,1claude_270ed5c9,38,16
claude-opus-4-6,2claude_275bad09,38,19
claude-opus-4-6,3claude_1d8fcc44,38,17
claude-opus-4-6,4claude_a5575f4e,38,18
claude-opus-4-6,5claude_bdff8366,38,19
claude-opus-4-6,6claude_a01b48a0,38,18
claude-opus-4-6,7claude_bd9a0eb7,38,17
claude-opus-4-6,8claude_0621ba47,38,19
claude-opus-4-6,9claude_eef5e61e,38,17
claude-sonnet-4-6,10claude_62c94339,38,18
claude-sonnet-4-6,1claude_2bbebfd0,38,13
claude-sonnet-4-6,2claude_03080d88,38,18
claude-sonnet-4-6,3claude_257a4648,38,18
claude-sonnet-4-6,4claude_e706ab20,38,18
claude-sonnet-4-6,5claude_6f624a73,38,18
claude-sonnet-4-6,6claude_10b7302c,38,20
claude-sonnet-4-6,7claude_ff925fd1,38,20
claude-sonnet-4-6,8claude_e1b4c899,38,18
claude-sonnet-4-6,9claude_ea0a77dd,38,20
gpt-5.4-2026-03-05,1openai_a43bd10e,35,14
gpt-5.4-2026-03-05,2openai_14bd015b,30,12
gpt-5.4-2026-03-05,3openai_b8dcb419,38,20
gpt-5.4-mini-2026-03-17,1openai_2c87c70c,38,17
gpt-5.4-mini-2026-03-17,2openai_0b3d7981,38,14
gpt-5.4-mini-2026-03-17,3openai_07e48457,38,19
gpt-5.4-nano-2026-03-17,1openai_f8f98579,37,20
gpt-5.4-nano-2026-03-17,2openai_28b6b124,32,15
gpt-5.4-nano-2026-03-17,3openai_182d3c54,37,20
models/gemini-2.5-flash,10gemini_7b54d2d8,38,15
models/gemini-2.5-flash,1gemini_0e66828e,38,15
models/gemini-2.5-flash,2gemini_ee27a247,38,16
models/gemini-2.5-flash,3gemini_85236e5c,38,16
models/gemini-2.5-flash,4gemini_59ffcafc,38,16
models/gemini-2.5-flash,5gemini_a7426ced,38,16
models/gemini-2.5-flash,6gemini_f2106961,38,16
models/gemini-2.5-flash,7gemini_54dd7226,38,16
models/gemini-2.5-flash,8gemini_90da9a70,38,16
models/gemini-2.5-flash,9gemini_417aa245,38,16
models/gemini-2.5-flash-lite,1gemini_3f2df874,38,0
models/gemini-2.5-flash-lite,2gemini_4114151c,38,0
models/gemini-2.5-flash-lite,3gemini_f038814c,38,0
models/gemini-2.5-pro,1gemini_19d31df4,38,23
models/gemini-2.5-pro,2gemini_26996395,38,23
models/gemini-2.5-pro,3gemini_7b9a3fe2,38,23
