model_id,run_name,num_categories,num_subcategories,num_games,dist_min,dist_mean,dist_max,dist_stdev,avg_path_length,num_edges,num_nodes,recall,precision,f1,num_hallucinations,hallucinated_names
claude-haiku-4-5-20251001,10claude_cb246bb6,7,0,42,2,6,9,2.31,2.0,49,50,1.0,1.0,1.0,0,
claude-haiku-4-5-20251001,1claude_72b8d0c0,7,0,42,2,6,9,2.31,2.0,49,50,1.0,1.0,1.0,0,
claude-haiku-4-5-20251001,2claude_42bb2804,7,0,42,2,6,9,2.31,2.0,49,50,1.0,1.0,1.0,0,
claude-haiku-4-5-20251001,3claude_35fac96a,7,0,42,2,6,9,2.31,2.0,49,50,1.0,1.0,1.0,0,
claude-haiku-4-5-20251001,4claude_6fadbad4,7,0,42,2,6,9,2.31,2.0,49,50,1.0,1.0,1.0,0,
claude-haiku-4-5-20251001,5claude_2b0ad018,7,0,42,2,6,9,2.31,2.0,49,50,1.0,1.0,1.0,0,
claude-haiku-4-5-20251001,6claude_14c9ca1d,7,0,42,2,6,9,2.31,2.0,49,50,1.0,1.0,1.0,0,
claude-haiku-4-5-20251001,7claude_224a6579,7,0,42,1,6,10,2.89,2.0,49,50,1.0,1.0,1.0,0,
claude-haiku-4-5-20251001,8claude_aaee8e18,7,0,42,2,6,9,2.31,2.0,49,50,1.0,1.0,1.0,0,
claude-haiku-4-5-20251001,9claude_a503be5b,7,0,42,2,6,9,2.31,2.0,49,50,1.0,1.0,1.0,0,
claude-opus-4-6,10claude_ff66332b,7,0,42,1,6,10,3.0,2.0,49,50,1.0,1.0,1.0,0,
claude-opus-4-6,1claude_270ed5c9,7,0,42,1,6,10,2.71,2.0,49,50,1.0,1.0,1.0,0,
claude-opus-4-6,2claude_275bad09,7,0,42,1,6,10,3.16,2.0,49,50,1.0,1.0,1.0,0,
claude-opus-4-6,3claude_1d8fcc44,7,0,42,1,6,9,2.58,2.0,49,50,1.0,1.0,1.0,0,
claude-opus-4-6,4claude_a5575f4e,7,0,42,3,6,11,2.71,2.0,49,50,1.0,1.0,1.0,0,
claude-opus-4-6,5claude_bdff8366,7,0,42,2,6,11,2.94,2.0,49,50,1.0,1.0,1.0,0,
claude-opus-4-6,6claude_a01b48a0,7,0,42,2,6,11,3.0,2.0,49,50,1.0,1.0,1.0,0,
claude-opus-4-6,7claude_bd9a0eb7,7,0,42,2,6,9,2.58,2.0,49,50,1.0,1.0,1.0,0,
claude-opus-4-6,8claude_0621ba47,7,0,42,2,6,10,2.83,2.0,49,50,1.0,1.0,1.0,0,
claude-opus-4-6,9claude_eef5e61e,7,0,42,2,6,10,2.89,2.0,49,50,1.0,1.0,1.0,0,
