model_id,run_name,edit_dist_experiment,edit_dist_model
claude-haiku-4-5-20251001,1claude_79ddf346,40,20
claude-haiku-4-5-20251001,2claude_08dd8424,40,20
claude-haiku-4-5-20251001,3claude_485dfa58,40,18
claude-opus-4-6,1claude_b570df44,40,19
claude-opus-4-6,2claude_e820b3b5,40,19
claude-opus-4-6,3claude_59240d42,40,19
claude-sonnet-4-6,1claude_21abc32c,40,17
claude-sonnet-4-6,2claude_55231cc2,40,17
claude-sonnet-4-6,3claude_981f75e4,40,17
gpt-5.4-2026-03-05,1openai_b16f5352,40,33
gpt-5.4-2026-03-05,2openai_9f171815,40,31
gpt-5.4-2026-03-05,3openai_38d87210,40,31
gpt-5.4-mini-2026-03-17,1openai_dfaf0195,39,10
gpt-5.4-mini-2026-03-17,2openai_94d3112d,40,11
gpt-5.4-mini-2026-03-17,3openai_ed25ca6c,40,11
gpt-5.4-nano-2026-03-17,1openai_64433659,39,18
gpt-5.4-nano-2026-03-17,2openai_eb38cdb6,40,21
gpt-5.4-nano-2026-03-17,3openai_2858a17a,40,19
models/gemini-2.5-flash,10gemini_35b8dfc5,38,15
models/gemini-2.5-flash,1gemini_6743399c,38,15
models/gemini-2.5-flash,2gemini_7ac4d311,40,18
models/gemini-2.5-flash,3gemini_d582e818,40,18
models/gemini-2.5-flash,4gemini_c5720294,38,15
models/gemini-2.5-flash,5gemini_afaecb93,40,18
models/gemini-2.5-flash,6gemini_49de1905,40,18
models/gemini-2.5-flash,7gemini_cad9a0d7,40,18
models/gemini-2.5-flash,8gemini_d4eadd58,38,15
models/gemini-2.5-flash,9gemini_a89b36ea,38,15
models/gemini-2.5-flash-lite,1gemini_1c82c7c3,39,2
models/gemini-2.5-flash-lite,2gemini_904acc39,39,2
models/gemini-2.5-flash-lite,3gemini_bd55134b,39,2
models/gemini-2.5-pro,1gemini_3b03d164,40,23
models/gemini-2.5-pro,2gemini_b8e6cb38,39,22
models/gemini-2.5-pro,3gemini_75dffdbb,40,25
