model_id,run_name,num_categories,num_subcategories,num_games,dist_min,dist_mean,dist_max,dist_stdev,avg_path_length,num_edges,num_nodes,recall,precision,f1,num_hallucinations,hallucinated_names
claude-haiku-4-5-20251001,1claude_0c0bf79e,6,15,42,3,7,11,3.16,3.0,63,64,1.0,1.0,1.0,0,
claude-haiku-4-5-20251001,2claude_0f85e2d2,4,11,42,6,10.5,15,3.7,3.0,57,58,1.0,1.0,1.0,0,
claude-haiku-4-5-20251001,3claude_570cfce5,2,9,41,0,20.5,41,28.99,3.0,52,53,0.9762,1.0,0.988,0,
claude-opus-4-6,1claude_8c81523f,5,10,42,2,8.4,22,8.91,3.62,64,65,1.0,1.0,1.0,0,
claude-opus-4-6,2claude_a7e064f2,4,10,42,3,10.5,14,5.07,3.0,56,57,1.0,1.0,1.0,0,
claude-opus-4-6,3claude_9f77b706,6,9,42,1,7,13,5.37,2.9,57,58,1.0,1.0,1.0,0,
claude-sonnet-4-6,1claude_d7b09cc5,7,11,42,0,6,15,5.07,2.86,60,61,1.0,1.0,1.0,0,
claude-sonnet-4-6,2claude_6b09a3fb,5,14,42,1,8.4,18,6.91,2.98,61,62,1.0,1.0,1.0,0,
claude-sonnet-4-6,3claude_01e2ab99,5,13,42,2,8.4,14,4.72,3.0,60,61,1.0,1.0,1.0,0,
gpt-5.4-2026-03-05,1openai_48d521df,1,5,42,42,42,42,0.0,4.0,61,62,1.0,1.0,1.0,0,
gpt-5.4-2026-03-05,2openai_8cf82508,7,0,39,1,5.57,13,3.91,2.0,46,47,1.0,1.0,1.0,0,
gpt-5.4-2026-03-05,3openai_005d896a,8,13,39,0,4.88,14,5.38,2.97,60,61,1.0,1.0,1.0,0,
gpt-5.4-mini-2026-03-17,1openai_37f502a2,9,0,42,0,4.67,11,5.22,2.0,51,52,1.0,1.0,1.0,0,
gpt-5.4-mini-2026-03-17,2openai_f4cf0dd2,8,0,41,0,5.12,17,7.26,2.0,49,50,1.0,1.0,1.0,0,
gpt-5.4-mini-2026-03-17,3openai_579ac83f,4,0,42,0,10.5,15,7.14,2.0,46,47,1.0,1.0,1.0,0,
gpt-5.4-nano-2026-03-17,1openai_668465cd,14,0,41,0,2.93,8,2.3,2.0,55,56,0.9762,1.0,0.988,0,
gpt-5.4-nano-2026-03-17,2openai_6e51b2d4,7,0,22,1,3.14,11,3.53,2.0,29,30,1.0,1.0,1.0,0,
gpt-5.4-nano-2026-03-17,3openai_33a04609,10,0,42,0,4.2,11,3.99,2.0,52,53,1.0,1.0,1.0,0,
models/gemini-2.5-flash,1gemini_ee17fd95,3,7,41,7,13.67,20,6.51,3.83,63,64,0.9762,1.0,0.988,0,
models/gemini-2.5-flash,2gemini_567908a7,4,11,42,6,10.5,15,3.87,3.17,59,60,1.0,1.0,1.0,0,
models/gemini-2.5-flash,3gemini_785053ae,4,8,41,5,10.25,16,6.08,3.98,67,68,0.9762,1.0,0.988,0,
models/gemini-2.5-flash-lite,1gemini_a8829b87,4,10,41,4,10.25,19,6.29,3.0,55,56,0.9762,1.0,0.988,0,
models/gemini-2.5-flash-lite,2gemini_df1280f4,3,9,40,6,13.33,19,6.66,3.0,52,53,0.9524,1.0,0.9756,0,
models/gemini-2.5-flash-lite,3gemini_394e4415,1,3,41,41,41,41,0.0,4.0,54,55,0.9762,1.0,0.988,0,
models/gemini-2.5-pro,1gemini_fb4a5a9e,5,8,42,6,8.4,10,1.52,2.64,55,56,1.0,1.0,1.0,0,
models/gemini-2.5-pro,2gemini_c431d026,5,2,42,4,8.4,12,3.29,2.29,49,50,1.0,1.0,1.0,0,
models/gemini-2.5-pro,3gemini_d9961780,6,7,42,2,7,14,4.69,2.76,55,56,1.0,1.0,1.0,0,
