model_id,run_name,num_categories,num_subcategories,num_games,dist_min,dist_mean,dist_max,dist_stdev,avg_path_length,num_edges,num_nodes,recall,precision,f1,num_hallucinations,hallucinated_names
claude-haiku-4-5-20251001,1claude_aa575f38,7,13,42,1,6,14,4.43,2.95,62,63,1.0,1.0,1.0,0,
claude-haiku-4-5-20251001,2claude_b0c30c88,7,14,41,1,5.86,14,4.6,3.0,62,63,1.0,1.0,1.0,0,
claude-haiku-4-5-20251001,3claude_e1b85269,8,11,42,1,5.25,14,4.23,2.88,61,62,1.0,1.0,1.0,0,
claude-opus-4-6,1claude_aa283f75,6,20,42,2,7,16,5.14,3.14,71,72,1.0,1.0,1.0,0,
claude-opus-4-6,2claude_189c8e47,5,21,42,3,8.4,16,5.18,3.19,73,74,1.0,1.0,1.0,0,
claude-opus-4-6,3claude_d1822811,7,16,42,1,6,15,4.97,2.93,65,66,1.0,1.0,1.0,0,
claude-sonnet-4-6,1claude_bf85d3e9,7,25,42,3,6,11,2.94,3.0,74,75,1.0,1.0,1.0,0,
claude-sonnet-4-6,2claude_a86d6045,8,21,42,1,5.25,12,3.69,2.98,71,72,1.0,1.0,1.0,0,
claude-sonnet-4-6,3claude_9117c2f7,7,25,42,3,6,10,2.77,3.0,74,75,1.0,1.0,1.0,0,
gpt-5.4-2026-03-05,10openai_7b034fae,1,8,42,42,42,42,0.0,4.0,75,76,1.0,1.0,1.0,0,
gpt-5.4-2026-03-05,1openai_200c16ee,1,7,42,42,42,42,0.0,4.0,67,68,1.0,1.0,1.0,0,
gpt-5.4-2026-03-05,2openai_01fc1784,1,8,42,42,42,42,0.0,4.0,70,71,1.0,1.0,1.0,0,
gpt-5.4-2026-03-05,3openai_b069849e,1,6,42,42,42,42,0.0,4.0,66,67,1.0,1.0,1.0,0,
gpt-5.4-2026-03-05,4openai_5dad4dda,1,8,42,42,42,42,0.0,3.98,68,69,1.0,1.0,1.0,0,
gpt-5.4-2026-03-05,5openai_6fa6a502,7,24,42,1,6,14,4.08,2.98,73,74,1.0,1.0,1.0,0,
gpt-5.4-2026-03-05,6openai_ed4dd39c,1,8,42,42,42,42,0.0,4.55,73,74,1.0,1.0,1.0,0,
gpt-5.4-2026-03-05,7openai_d0f4d6ec,1,8,42,42,42,42,0.0,4.0,71,72,1.0,1.0,1.0,0,
gpt-5.4-2026-03-05,8openai_af9bae05,7,20,42,1,6,16,4.9,2.98,69,70,1.0,1.0,1.0,0,
gpt-5.4-2026-03-05,9openai_42bb9231,1,7,42,42,42,42,0.0,4.0,73,74,1.0,1.0,1.0,0,
gpt-5.4-mini-2026-03-17,1openai_24ab50f9,9,32,42,0,4.67,8,2.96,3.0,83,84,1.0,1.0,1.0,0,
gpt-5.4-mini-2026-03-17,2openai_6cb5a0fd,8,7,42,0,10.5,42,14.05,2.5,99,100,1.0,1.0,1.0,0,
gpt-5.4-mini-2026-03-17,3openai_1cdaff1a,7,7,38,38,38,38,0.0,4.0,73,74,0.9048,1.0,0.95,0,
gpt-5.4-nano-2026-03-17,1openai_650c59e2,9,9,37,0,4.11,12,4.59,2.84,55,56,1.0,1.0,1.0,0,
gpt-5.4-nano-2026-03-17,2openai_3aecae1b,9,0,28,0,3.11,9,3.26,2.0,37,38,1.0,1.0,1.0,0,
gpt-5.4-nano-2026-03-17,3openai_906efac4,9,0,42,1,4.67,14,4.06,2.0,51,52,1.0,1.0,1.0,0,
models/gemini-2.5-flash,1gemini_74601add,4,11,21,2,5.25,9,3.3,3.0,36,37,0.9762,1.0,0.988,0,
models/gemini-2.5-flash,2gemini_d090a26a,4,11,21,2,5.25,9,3.3,3.0,36,37,0.9762,1.0,0.988,0,
models/gemini-2.5-flash,3gemini_88c5a123,4,11,21,2,5.25,9,3.3,3.0,36,37,0.9762,1.0,0.988,0,
models/gemini-2.5-flash-lite,1gemini_cfde2b5e,1,6,38,38,38,38,0.0,3.0,45,46,0.9048,1.0,0.95,0,
models/gemini-2.5-flash-lite,2gemini_f425590a,1,6,38,38,38,38,0.0,3.0,45,46,0.9048,1.0,0.95,0,
models/gemini-2.5-flash-lite,3gemini_90c4afac,1,6,38,38,38,38,0.0,3.0,45,46,0.9048,1.0,0.95,0,
models/gemini-2.5-pro,1gemini_db87234b,5,14,42,2,8.4,14,4.77,2.95,61,62,1.0,1.0,1.0,0,
models/gemini-2.5-pro,2gemini_c148792a,5,13,42,2,8.4,16,5.32,2.95,60,61,1.0,1.0,1.0,0,
models/gemini-2.5-pro,3gemini_65d3940a,5,13,41,2,8.2,15,4.97,2.95,59,60,0.9762,1.0,0.988,0,
