model_id,run_name,edit_dist_experiment,edit_dist_model
claude-haiku-4-5-20251001,1claude_2a870ea7,,26
claude-haiku-4-5-20251001,2claude_7454a066,,28
claude-haiku-4-5-20251001,3claude_02d4c784,,27
claude-opus-4-6,1claude_1c61e685,,25
claude-opus-4-6,2claude_36e0d85b,,19
claude-opus-4-6,3claude_78390e3b,,25
claude-sonnet-4-6,1claude_36ab72c5,,27
claude-sonnet-4-6,2claude_6479a044,,25
claude-sonnet-4-6,3claude_ae9bbb4f,,27
gpt-5.4-2026-03-05,10openai_31f33321,,27
gpt-5.4-2026-03-05,1openai_dbef8b50,,28
gpt-5.4-2026-03-05,2openai_eb9130bd,,26
gpt-5.4-2026-03-05,3openai_1ccf93c2,,28
gpt-5.4-2026-03-05,4openai_0646d2c5,,28
gpt-5.4-2026-03-05,5openai_469bafc3,,28
gpt-5.4-2026-03-05,6openai_9e98ac65,,26
gpt-5.4-2026-03-05,7openai_10e5c7ba,,27
gpt-5.4-2026-03-05,8openai_09b44f69,,26
gpt-5.4-2026-03-05,9openai_d3dddbea,,27
gpt-5.4-mini-2026-03-17,1openai_e86a8fc3,,29
gpt-5.4-mini-2026-03-17,2openai_c6af7f97,,23
gpt-5.4-mini-2026-03-17,3openai_e703b520,,35
gpt-5.4-nano-2026-03-17,1openai_bb0c8cce,,23
gpt-5.4-nano-2026-03-17,2openai_8dbc4e64,,19
gpt-5.4-nano-2026-03-17,3openai_f39f8154,,21
models/gemini-2.5-flash,1gemini_9c47df6b,,24
models/gemini-2.5-flash,2gemini_2f08b376,,22
models/gemini-2.5-flash,3gemini_8fa8b8b7,,27
models/gemini-2.5-flash-lite,1gemini_e3f3b370,,37
models/gemini-2.5-flash-lite,2gemini_0e059e4a,,37
models/gemini-2.5-flash-lite,3gemini_ac29c65f,,38
models/gemini-2.5-pro,1gemini_ed86a9fb,,18
models/gemini-2.5-pro,2gemini_6e887da5,,19
models/gemini-2.5-pro,3gemini_be9e8a17,,20
