model_id,run_name,edit_dist_experiment,edit_dist_model
claude-haiku-4-5-20251001,10claude_333714ab,,22
claude-haiku-4-5-20251001,1claude_4e118713,,21
claude-haiku-4-5-20251001,2claude_0e22fab7,,21
claude-haiku-4-5-20251001,3claude_03885d85,,18
claude-haiku-4-5-20251001,4claude_bbc3e58f,,19
claude-haiku-4-5-20251001,5claude_a1f2430a,,24
claude-haiku-4-5-20251001,6claude_1ab11850,,21
claude-haiku-4-5-20251001,7claude_283d3ef4,,19
claude-haiku-4-5-20251001,8claude_1f7d594c,,23
claude-haiku-4-5-20251001,9claude_f88b8a88,,19
claude-opus-4-6,10claude_cf9b652b,,30
claude-opus-4-6,1claude_c77a90e2,,26
claude-opus-4-6,2claude_42f24529,,28
claude-opus-4-6,3claude_0213c657,,24
claude-opus-4-6,4claude_c25d3e00,,32
claude-opus-4-6,5claude_340ed84e,,29
claude-opus-4-6,6claude_9cae8c4b,,31
claude-opus-4-6,7claude_a64fc8ba,,29
claude-opus-4-6,8claude_d8ef802d,,28
claude-opus-4-6,9claude_de332d1d,,31
claude-sonnet-4-6,10claude_cd73f877,,34
claude-sonnet-4-6,1claude_0c6939a0,,32
claude-sonnet-4-6,2claude_2bc9ba81,,32
claude-sonnet-4-6,3claude_adb4f698,,32
claude-sonnet-4-6,4claude_c243a6b0,,33
claude-sonnet-4-6,5claude_36340dbd,,33
claude-sonnet-4-6,6claude_c40cb19e,,34
claude-sonnet-4-6,7claude_0f64d4d2,,33
claude-sonnet-4-6,8claude_c36e4b79,,33
claude-sonnet-4-6,9claude_c26e4f5c,,33
gpt-5.4-2026-03-05,1openai_374aa444,,15
gpt-5.4-2026-03-05,2openai_526b8ebf,,15
gpt-5.4-2026-03-05,3openai_03cc2d13,,12
gpt-5.4-mini-2026-03-17,1openai_f8d62ecf,,22
gpt-5.4-mini-2026-03-17,2openai_ee98a23d,,22
gpt-5.4-mini-2026-03-17,3openai_c9f75a4c,,17
gpt-5.4-nano-2026-03-17,1openai_cb2a7d09,,21
gpt-5.4-nano-2026-03-17,2openai_6eea76c2,,20
gpt-5.4-nano-2026-03-17,3openai_a08f6afb,,15
models/gemini-2.5-flash,1gemini_72079c4b,,24
models/gemini-2.5-flash,2gemini_4b485d08,,25
models/gemini-2.5-flash,3gemini_d5e582b7,,27
models/gemini-2.5-flash-lite,1gemini_fe06a01b,,25
models/gemini-2.5-flash-lite,2gemini_c9c85548,,24
models/gemini-2.5-flash-lite,3gemini_2d772247,,35
models/gemini-2.5-pro,1gemini_4d272c09,,15
models/gemini-2.5-pro,2gemini_a831a0ad,,19
models/gemini-2.5-pro,3gemini_95853e92,,22
