model_id,run_name,num_categories,num_subcategories,num_games,dist_min,dist_mean,dist_max,dist_stdev,avg_path_length,num_edges,num_nodes,recall,precision,f1,num_hallucinations,hallucinated_names
claude-haiku-4-5-20251001,10claude_333714ab,6,12,42,1,7,12,4.9,2.98,60,61,1.0,1.0,1.0,0,
claude-haiku-4-5-20251001,1claude_4e118713,5,9,42,1,8.4,16,6.27,2.98,56,57,1.0,1.0,1.0,0,
claude-haiku-4-5-20251001,2claude_0e22fab7,5,10,42,2,8.4,15,5.46,3.0,57,58,1.0,1.0,1.0,0,
claude-haiku-4-5-20251001,3claude_03885d85,6,12,42,2,7,14,4.2,3.0,60,61,1.0,1.0,1.0,0,
claude-haiku-4-5-20251001,4claude_bbc3e58f,6,11,42,0,7,13,5.83,2.98,59,60,1.0,1.0,1.0,0,
claude-haiku-4-5-20251001,5claude_a1f2430a,9,13,41,1,4.56,13,4.45,2.9,63,64,0.9762,1.0,0.988,0,
claude-haiku-4-5-20251001,6claude_1ab11850,5,8,41,2,8.2,17,6.06,2.88,54,55,0.9762,1.0,0.988,0,
claude-haiku-4-5-20251001,7claude_283d3ef4,4,11,42,3,10.5,14,5.07,3.0,57,58,1.0,1.0,1.0,0,
claude-haiku-4-5-20251001,8claude_1f7d594c,5,12,42,3,8.4,13,3.65,3.0,59,60,1.0,1.0,1.0,0,
claude-haiku-4-5-20251001,9claude_f88b8a88,4,12,41,3,10.25,17,6.08,3.0,57,58,0.9762,1.0,0.988,0,
claude-opus-4-6,10claude_cf9b652b,7,13,42,1,6,17,5.29,2.9,62,63,1.0,1.0,1.0,0,
claude-opus-4-6,1claude_c77a90e2,6,21,42,1,7,16,5.69,3.57,82,83,1.0,1.0,1.0,0,
claude-opus-4-6,2claude_42f24529,6,14,42,1,7,15,5.18,2.93,62,63,1.0,1.0,1.0,0,
claude-opus-4-6,3claude_0213c657,3,7,42,2,14,28,13.11,4.12,75,76,1.0,1.0,1.0,0,
claude-opus-4-6,4claude_c25d3e00,6,13,42,1,7,17,5.83,2.98,61,62,1.0,1.0,1.0,0,
claude-opus-4-6,5claude_340ed84e,7,14,42,2,6,15,4.55,2.88,63,64,1.0,1.0,1.0,0,
claude-opus-4-6,6claude_9cae8c4b,7,12,42,1,6,16,5.0,2.93,61,62,1.0,1.0,1.0,0,
claude-opus-4-6,7claude_a64fc8ba,9,5,42,1,4.67,15,4.53,2.5,56,57,1.0,1.0,1.0,0,
claude-opus-4-6,8claude_d8ef802d,6,16,42,2,7,17,5.29,2.86,64,65,1.0,1.0,1.0,0,
claude-opus-4-6,9claude_de332d1d,6,15,42,2,7,16,5.29,2.95,63,64,1.0,1.0,1.0,0,
claude-sonnet-4-6,10claude_cd73f877,8,15,42,1,5.25,15,4.74,2.9,65,66,1.0,1.0,1.0,0,
claude-sonnet-4-6,1claude_0c6939a0,8,15,42,1,5.25,11,3.77,2.88,65,66,1.0,1.0,1.0,0,
