model_id,prompt_stem,temperature,has_rules,num_records,num_categories,num_subcategories,num_games,dist_min,dist_mean,dist_max,dist_stdev,avg_path_length,num_edges,num_nodes,recall,precision,f1,num_hallucinations,edit_dist_experiment,edit_dist_model
claude-haiku-4-5-20251001,Basic,0,false,1,4.667,10.667,42.0,6.0,9.1,14.667,3.62,3.61,68.333,69.333,1.0,1.0,1.0,0.0,,19.667
claude-haiku-4-5-20251001,Basic,0,true,1,7.333,12.667,41.667,1.0,5.703,14.0,4.42,2.943,61.667,62.667,1.0,1.0,1.0,0.0,,15.667
claude-haiku-4-5-20251001,Basic,1,false,1,5.333,10.333,42.0,2.0,7.933,13.333,4.233,3.0,57.667,58.667,1.0,1.0,1.0,0.0,,32.0
claude-haiku-4-5-20251001,Basic,1,true,1,7.667,14.333,41.667,1.0,5.583,11.667,3.897,2.97,63.667,64.667,0.992,1.0,0.996,0.0,,27.0
claude-haiku-4-5-20251001,SpecifyEx,0,false,1,4.667,11.667,42.0,4.0,9.1,14.333,4.227,3.0,58.333,59.333,1.0,1.0,1.0,0.0,40.0,19.333
claude-haiku-4-5-20251001,SpecifyEx,0,true,1,4.667,9.667,42.0,2.0,9.1,17.333,7.073,2.967,56.333,57.333,1.0,1.0,1.0,0.0,,12.667
claude-haiku-4-5-20251001,SpecifyEx,1,false,1,4.0,11.667,41.667,3.0,12.667,22.333,11.95,3.0,57.333,58.333,0.992,1.0,0.996,0.0,,30.0
claude-haiku-4-5-20251001,SpecifyEx,1,true,1,5.333,10.333,42.0,1.667,7.933,15.0,5.31,2.993,57.667,58.667,1.0,1.0,1.0,0.0,,20.0
claude-haiku-4-5-20251001,SpecifyExCats,0,false,1,7.0,0.0,42.0,2.0,6.0,9.0,2.31,2.0,49.0,50.0,1.0,1.0,1.0,0.0,38.0,0.0
claude-haiku-4-5-20251001,SpecifyExCats,0,true,1,7.0,0.0,42.0,2.0,6.0,9.0,2.547,2.0,49.0,50.0,1.0,1.0,1.0,0.0,39.0,4.667
claude-haiku-4-5-20251001,SpecifyExCats,1,false,1,7.0,0.0,41.667,2.667,5.953,9.667,2.627,2.0,48.667,49.667,0.992,0.992,0.992,0.333,39.667,18.333
claude-haiku-4-5-20251001,SpecifyExCats,1,true,1,7.0,0.0,41.667,3.333,5.953,9.0,2.197,2.0,48.667,49.667,0.992,1.0,0.996,0.0,38.667,16.667
claude-opus-4-6,Basic,0,false,1,6.667,12.333,42.0,1.0,6.417,14.0,5.737,2.93,61.0,62.0,1.0,1.0,1.0,0.0,,20.667
claude-opus-4-6,Basic,0,true,1,6.0,19.0,42.0,2.0,7.133,15.667,5.097,3.087,69.667,70.667,1.0,1.0,1.0,0.0,,25.667
claude-opus-4-6,Basic,1,false,1,6.333,11.333,42.0,1.0,6.8,13.667,5.377,2.927,59.667,60.667,1.0,1.0,1.0,0.0,,19.667
claude-opus-4-6,Basic,1,true,1,6.667,16.0,42.0,1.0,6.333,15.333,4.913,2.937,64.667,65.667,1.0,1.0,1.0,0.0,,23.0
claude-opus-4-6,SpecifyEx,0,false,1,5.667,10.0,42.0,1.333,7.467,18.667,6.903,2.897,57.667,58.667,1.0,1.0,1.0,0.0,40.0,19.0
claude-opus-4-6,SpecifyEx,0,true,1,5.667,14.333,42.0,2.667,7.6,16.0,5.053,2.943,62.0,63.0,1.0,1.0,1.0,0.0,,20.0
claude-opus-4-6,SpecifyEx,1,false,1,5.0,9.667,42.0,2.0,8.633,16.333,6.45,3.173,59.0,60.0,1.0,1.0,1.0,0.0,,26.0
claude-opus-4-6,SpecifyEx,1,true,1,5.0,14.0,42.0,1.333,9.333,19.667,7.993,3.54,73.0,74.0,1.0,1.0,1.0,0.0,,26.0
claude-opus-4-6,SpecifyExCats,0,false,1,7.0,0.0,42.0,1.0,6.0,9.667,2.817,2.0,49.0,50.0,1.0,1.0,1.0,0.0,38.0,17.333
claude-opus-4-6,SpecifyExCats,0,true,1,7.0,0.0,42.0,3.0,6.0,10.667,2.64,2.0,49.0,50.0,1.0,1.0,1.0,0.0,39.0,4.0
claude-opus-4-6,SpecifyExCats,1,false,1,7.0,0.0,42.0,2.667,6.0,10.0,2.62,2.0,49.0,50.0,1.0,1.0,1.0,0.0,40.0,12.333
claude-opus-4-6,SpecifyExCats,1,true,1,7.0,0.0,42.0,2.333,6.0,11.667,3.193,2.0,49.0,50.0,1.0,1.0,1.0,0.0,39.0,4.0
claude-sonnet-4-6,Basic,0,false,1,6.0,17.0,42.0,1.333,7.133,11.0,3.803,2.993,65.0,66.0,1.0,1.0,1.0,0.0,,24.333
claude-sonnet-4-6,Basic,0,true,1,7.333,23.667,42.0,2.333,5.75,11.0,3.133,2.993,73.0,74.0,1.0,1.0,1.0,0.0,,25.0
claude-sonnet-4-6,Basic,1,false,1,6.0,15.667,42.0,1.333,7.133,12.0,4.56,3.0,63.667,64.667,1.0,1.0,1.0,0.0,,27.667
claude-sonnet-4-6,Basic,1,true,1,7.0,21.0,42.0,2.333,6.083,10.333,3.343,3.0,70.0,71.0,1.0,1.0,1.0,0.0,,26.333
claude-sonnet-4-6,SpecifyEx,0,false,1,5.0,9.0,42.0,1.667,8.4,16.333,5.897,2.883,56.0,57.0,1.0,1.0,1.0,0.0,40.0,17.0
claude-sonnet-4-6,SpecifyEx,0,true,1,7.667,26.333,42.0,1.333,5.557,11.667,3.55,2.97,76.0,77.0,1.0,1.0,1.0,0.0,,32.0
claude-sonnet-4-6,SpecifyEx,1,false,1,5.667,12.667,42.0,1.0,7.6,15.667,5.567,2.947,60.333,61.333,1.0,1.0,1.0,0.0,,24.333
claude-sonnet-4-6,SpecifyEx,1,true,1,9.333,19.667,42.0,1.0,4.58,10.667,3.5,2.987,73.0,74.0,1.0,1.0,1.0,0.0,,32.0
claude-sonnet-4-6,SpecifyExCats,0,false,1,6.667,0.0,42.0,2.333,6.333,12.0,3.577,2.0,48.667,49.667,1.0,1.0,1.0,0.0,38.0,16.333
claude-sonnet-4-6,SpecifyExCats,0,true,1,7.0,0.0,42.0,1.667,6.0,12.0,3.51,2.0,49.0,50.0,1.0,1.0,1.0,0.0,39.0,11.333
claude-sonnet-4-6,SpecifyExCats,1,false,1,7.0,0.0,42.0,1.333,6.0,10.333,3.28,2.0,49.0,50.0,1.0,1.0,1.0,0.0,40.0,15.333
claude-sonnet-4-6,SpecifyExCats,1,true,1,7.0,0.0,42.0,0.667,6.0,10.333,3.253,2.0,49.0,50.0,1.0,1.0,1.0,0.0,39.0,15.333
