experiment_id,temperature,prompt_stem,has_rules,num_records,num_categories,num_subcategories,num_games,dist_min,dist_mean,dist_max,dist_stdev,avg_path_length,num_edges,num_nodes,recall,precision,f1,num_hallucinations,edit_dist_experiment,edit_dist_model
Comb_List_Basic_T0_00654f,0,Basic,false,9,6.8519,8.7778,41.5927,2.037,7.3338,15.0001,5.2241,2.8386,58.8889,59.8889,0.9947,0.9982,0.9964,0.0741,,20.5186
Comb_List_Basic_T1_00654f,1,Basic,false,9,5.5926,7.5554,41.5186,4.9259,10.8237,17.5927,5.84,2.8733,55.889,56.889,0.9929,0.9982,0.9956,0.074,,25.926
Comb_List_SpecifyExCats_T0_00654f,0,SpecifyExCats,false,9,6.8149,0.0,41.2962,2.111,6.0748,10.852,3.2471,2.0,48.1111,49.1111,0.9973,0.9948,0.9961,0.2222,37.2962,13.6296
Comb_List_SpecifyExCats_T1_00654f,1,SpecifyExCats,false,9,6.7408,0.0,40.7038,2.1482,6.0592,12.074,3.7386,2.0,47.4446,48.4446,0.9956,0.9982,0.9969,0.074,38.7038,19.7037
Comb_List_SpecifyEx_T0_00654f,0,SpecifyEx,false,9,5.4076,7.8148,41.7779,5.6667,10.6592,17.8518,5.1099,2.8522,56.0741,57.0741,0.9947,1.0,0.9973,0.0,39.7038,17.7037
Comb_List_SpecifyEx_T1_00654f,1,SpecifyEx,false,9,5.4444,6.852,40.7038,5.2962,10.8336,17.4443,5.5387,2.8518,55.1111,56.1111,0.9929,1.0,0.9964,0.0,,25.8148
Comb_Rules_Basic_T0_247684,0,Basic,true,9,5.4073,12.3333,38.2964,11.3703,14.8728,20.6297,3.4011,3.0467,60.6298,61.6298,0.9823,1.0,0.9908,0.0,,19.2222
Comb_Rules_Basic_T1_247684,1,Basic,true,9,6.0001,12.9999,41.4444,7.5186,11.7662,19.111,4.355,3.02,64.3704,65.3704,0.9893,0.9973,0.9933,0.1111,,26.0369
Comb_Rules_SpecifyExCats_T0_247684,0,SpecifyExCats,true,9,6.8889,0.0,41.8519,1.4816,6.0863,13.2593,4.1761,2.0,48.7407,49.7407,1.0,1.0,1.0,0.0,38.6297,8.2594
Comb_Rules_SpecifyExCats_T1_247684,1,SpecifyExCats,true,9,6.8519,0.0,41.2592,1.6296,6.0327,12.037,3.7503,2.0,48.1112,49.1112,0.9964,1.0,0.9982,0.0,38.1111,15.7779
Comb_Rules_SpecifyEx_T0_247684,0,SpecifyEx,true,9,6.2223,11.2592,37.7408,2.9259,7.567,16.0741,5.0586,2.6014,55.5186,56.5186,0.9559,0.9613,0.9586,0.0741,,15.1429
Comb_Rules_SpecifyEx_T1_247684,1,SpecifyEx,true,9,6.4446,9.926,40.6297,4.4073,9.2899,18.0741,5.3207,2.9482,60.8519,61.8519,0.9717,0.9954,0.9827,0.1852,,22.5556
