experiment_id,model_id,num_runs,num_categories,num_subcategories,num_games,dist_min,dist_mean,dist_max,dist_stdev,avg_path_length,num_edges,num_nodes,recall,precision,f1,num_hallucinations,hallucinated_names,edit_dist_experiment,edit_dist_model
Comb_Rules_Basic_T0_247684,claude-haiku-4-5-20251001,3,7.333,12.667,41.667,1.0,5.703,14.0,4.42,2.943,61.667,62.667,1.0,1.0,1.0,0.0,,,15.667
Comb_Rules_Basic_T0_247684,claude-opus-4-6,3,6.0,19.0,42.0,2.0,7.133,15.667,5.097,3.087,69.667,70.667,1.0,1.0,1.0,0.0,,,25.667
Comb_Rules_Basic_T0_247684,claude-sonnet-4-6,3,7.333,23.667,42.0,2.333,5.75,11.0,3.133,2.993,73.0,74.0,1.0,1.0,1.0,0.0,,,25.0
Comb_Rules_Basic_T0_247684,gpt-5.4-2026-03-05,10,2.2,10.4,42.0,33.8,34.8,36.6,0.898,3.849,70.5,71.5,1.0,1.0,1.0,0.0,,,26.4
Comb_Rules_Basic_T0_247684,gpt-5.4-mini-2026-03-17,3,8.0,15.333,40.667,12.667,17.723,29.333,5.67,3.167,85.0,86.0,0.968,1.0,0.983,0.0,,,31.0
Comb_Rules_Basic_T0_247684,gpt-5.4-nano-2026-03-17,3,9.0,3.0,35.667,0.333,3.963,11.667,3.97,2.28,47.667,48.667,1.0,1.0,1.0,0.0,,,23.333
Comb_Rules_Basic_T0_247684,models/gemini-2.5-flash,3,4.0,11.0,21.0,2.0,5.25,9.0,3.3,3.0,36.0,37.0,0.976,1.0,0.988,0.0,,,6.0
Comb_Rules_Basic_T0_247684,models/gemini-2.5-flash-lite,3,1.0,6.0,38.0,38.0,38.0,38.0,0.0,3.0,45.0,46.0,0.905,1.0,0.95,0.0,,,3.0
Comb_Rules_Basic_T0_247684,models/gemini-2.5-pro,3,5.0,13.333,41.667,2.0,8.333,15.0,5.02,2.95,60.0,61.0,0.992,1.0,0.996,0.0,,,18.333
Comb_Rules_Basic_T1_247684,claude-haiku-4-5-20251001,3,7.667,14.333,41.667,1.0,5.583,11.667,3.897,2.97,63.667,64.667,0.992,1.0,0.996,0.0,,,27.0
Comb_Rules_Basic_T1_247684,claude-opus-4-6,3,6.667,16.0,42.0,1.0,6.333,15.333,4.913,2.937,64.667,65.667,1.0,1.0,1.0,0.0,,,23.0
Comb_Rules_Basic_T1_247684,claude-sonnet-4-6,3,7.0,21.0,42.0,2.333,6.083,10.333,3.343,3.0,70.0,71.0,1.0,1.0,1.0,0.0,,,26.333
Comb_Rules_Basic_T1_247684,gpt-5.4-2026-03-05,10,2.4,11.6,42.0,33.6,34.65,36.9,1.038,3.786,72.1,73.1,1.0,1.0,1.0,0.0,,,27.1
Comb_Rules_Basic_T1_247684,gpt-5.4-mini-2026-03-17,3,8.667,12.0,41.333,0.667,4.933,18.333,6.553,2.643,62.0,63.0,0.984,1.0,0.992,0.0,,,29.0
Comb_Rules_Basic_T1_247684,gpt-5.4-nano-2026-03-17,3,8.0,2.333,41.0,1.0,5.167,12.333,4.143,2.167,64.667,65.667,0.976,0.984,0.98,0.667,,,21.0
Comb_Rules_Basic_T1_247684,models/gemini-2.5-flash,3,5.0,13.0,41.0,2.667,8.2,16.333,5.34,2.983,59.0,60.0,0.976,0.992,0.984,0.333,,,24.333
Comb_Rules_Basic_T1_247684,models/gemini-2.5-flash-lite,3,4.0,20.333,40.333,14.0,20.057,32.667,7.153,3.657,65.333,66.333,0.976,1.0,0.988,0.0,,,37.333
Comb_Rules_Basic_T1_247684,models/gemini-2.5-pro,3,6.0,10.667,41.667,3.0,7.54,13.0,3.853,2.83,58.333,59.333,1.0,1.0,1.0,0.0,,,19.0
Comb_Rules_SpecifyEx_T0_247684,claude-haiku-4-5-20251001,10,4.7,9.8,42.0,2.1,9.03,16.9,6.583,2.949,56.5,57.5,1.0,1.0,1.0,0.0,,,13.4
Comb_Rules_SpecifyEx_T0_247684,claude-opus-4-6,10,6.2,13.0,42.0,1.9,6.92,15.9,5.007,2.878,61.2,62.2,1.0,1.0,1.0,0.0,,,20.5
Comb_Rules_SpecifyEx_T0_247684,claude-sonnet-4-6,10,7.5,26.4,42.0,1.1,5.659,11.6,3.597,3.027,76.7,77.7,1.0,1.0,1.0,0.0,,,32.8
Comb_Rules_SpecifyEx_T0_247684,gpt-5.4-2026-03-05,3,5.0,9.0,27.667,14.0,15.223,19.0,1.617,2.52,48.333,49.333,0.992,1.0,0.996,0.0,,,
Comb_Rules_SpecifyEx_T0_247684,gpt-5.4-mini-2026-03-17,3,8.667,0.0,42.0,0.0,4.863,18.667,6.717,2.0,50.667,51.667,1.0,1.0,1.0,0.0,,,13.667
Comb_Rules_SpecifyEx_T0_247684,gpt-5.4-nano-2026-03-17,10,8.1,10.4,31.1,0.0,3.983,11.7,4.297,1.6,47.1,48.1,0.769,0.8,0.784,0.0,,,
Comb_Rules_SpecifyEx_T0_247684,models/gemini-2.5-flash,3,4.667,9.0,34.333,3.333,7.25,14.0,4.5,3.0,48.0,49.0,0.952,1.0,0.976,0.0,,,16.333
Comb_Rules_SpecifyEx_T0_247684,models/gemini-2.5-flash-lite,3,6.0,11.0,42.0,0.0,7.0,17.0,6.48,3.0,59.0,60.0,1.0,1.0,1.0,0.0,,,3.0
Comb_Rules_SpecifyEx_T0_247684,models/gemini-2.5-pro,3,5.333,5.333,40.0,3.0,7.557,16.333,5.2,2.68,50.667,51.667,0.992,0.985,0.988,0.667,,,8.333
Comb_List_SpecifyEx_T0_00654f,claude-haiku-4-5-20251001,3,4.667,11.667,42.0,4.0,9.1,14.333,4.227,3.0,58.333,59.333,1.0,1.0,1.0,0.0,,40.0,19.333
Comb_List_SpecifyEx_T0_00654f,claude-opus-4-6,3,5.667,10.0,42.0,1.333,7.467,18.667,6.903,2.897,57.667,58.667,1.0,1.0,1.0,0.0,,40.0,19.0
Comb_List_SpecifyEx_T0_00654f,claude-sonnet-4-6,3,5.0,9.0,42.0,1.667,8.4,16.333,5.897,2.883,56.0,57.0,1.0,1.0,1.0,0.0,,40.0,17.0
Comb_List_SpecifyEx_T0_00654f,gpt-5.4-2026-03-05,3,6.667,17.0,42.0,0.333,6.333,18.333,6.193,3.0,65.667,66.667,1.0,1.0,1.0,0.0,,40.0,31.667
Comb_List_SpecifyEx_T0_00654f,gpt-5.4-mini-2026-03-17,3,7.0,0.0,41.667,0.0,6.027,14.333,6.503,2.0,48.667,49.667,0.992,1.0,0.996,0.0,,39.667,10.667
Comb_List_SpecifyEx_T0_00654f,gpt-5.4-nano-2026-03-17,3,9.667,0.0,41.667,0.0,4.323,11.0,4.29,2.0,51.333,52.333,0.992,1.0,0.996,0.0,,39.667,19.333
Comb_List_SpecifyEx_T0_00654f,models/gemini-2.5-flash,10,1.5,3.5,42.0,27.0,31.5,36.0,6.365,4.0,57.0,58.0,1.0,1.0,1.0,0.0,,39.0,16.5
Comb_List_SpecifyEx_T0_00654f,models/gemini-2.5-flash-lite,3,4.0,11.0,41.0,7.0,10.25,16.0,3.95,3.0,56.0,57.0,0.976,1.0,0.988,0.0,,39.0,2.0
Comb_List_SpecifyEx_T0_00654f,models/gemini-2.5-pro,3,4.667,8.333,41.667,4.667,9.033,13.667,3.783,2.89,54.667,55.667,0.992,1.0,0.996,0.0,,39.667,23.333
Comb_List_SpecifyExCats_T0_00654f,claude-haiku-4-5-20251001,10,7.0,0.0,42.0,1.9,6.0,9.1,2.368,2.0,49.0,50.0,1.0,1.0,1.0,0.0,,38.0,0.8
Comb_List_SpecifyExCats_T0_00654f,claude-opus-4-6,10,7.0,0.0,42.0,1.7,6.0,10.1,2.84,2.0,49.0,50.0,1.0,1.0,1.0,0.0,,38.0,17.7
Comb_List_SpecifyExCats_T0_00654f,claude-sonnet-4-6,10,6.6,0.0,42.0,2.3,6.44,11.0,3.313,2.0,48.6,49.6,1.0,1.0,1.0,0.0,,38.0,18.1
Comb_List_SpecifyExCats_T0_00654f,gpt-5.4-2026-03-05,3,6.0,0.0,38.333,1.333,6.433,12.667,4.32,2.0,44.333,45.333,1.0,1.0,1.0,0.0,,34.333,15.333
Comb_List_SpecifyExCats_T0_00654f,gpt-5.4-mini-2026-03-17,3,7.0,0.0,42.0,0.0,6.0,11.333,4.647,2.0,49.0,50.0,1.0,0.992,0.996,0.333,,38.0,16.667
Comb_List_SpecifyExCats_T0_00654f,gpt-5.4-nano-2026-03-17,3,6.667,0.0,39.333,0.0,5.907,16.667,6.49,2.0,46.0,47.0,0.976,0.961,0.969,1.667,,35.333,18.333
Comb_List_SpecifyExCats_T0_00654f,models/gemini-2.5-flash,10,7.0,0.0,42.0,3.6,6.0,9.2,1.728,2.0,49.0,50.0,1.0,1.0,1.0,0.0,,38.0,15.8
Comb_List_SpecifyExCats_T0_00654f,models/gemini-2.5-flash-lite,3,7.0,0.0,42.0,4.0,6.0,9.0,1.83,2.0,49.0,50.0,1.0,1.0,1.0,0.0,,38.0,0.0
Comb_List_SpecifyExCats_T0_00654f,models/gemini-2.5-pro,3,7.0,0.0,42.0,4.333,6.0,8.667,1.793,2.0,49.0,50.0,1.0,1.0,1.0,0.0,,38.0,23.0
Comb_Rules_SpecifyExCats_T0_247684,claude-haiku-4-5-20251001,3,7.0,0.0,42.0,2.0,6.0,9.0,2.547,2.0,49.0,50.0,1.0,1.0,1.0,0.0,,39.0,4.667
Comb_Rules_SpecifyExCats_T0_247684,claude-opus-4-6,3,7.0,0.0,42.0,3.0,6.0,10.667,2.64,2.0,49.0,50.0,1.0,1.0,1.0,0.0,,39.0,4.0
