experiment_id,model_id,run_name,method,duration_s,prompt1,prompt2,temperature,games_path,data_path
GeneratedTaxonomies,gemini,1gemini_4bb5161f,Unknown,,,,,,
GeneratedTaxonomies,gemini,manual_format_gemini_4bb5161f,CSV,,,,,,
GeneratedTaxonomies,gemini,manual_taxonomy_gemini_4bb5161f,CSV,,,,,,
Experiment1,gemini,1gemini_cc0d505d,Unknown,,,,,,
Experiment1,gemini,1gemini_24cd3cf3,Unknown,,,,,,
Experiment1,gemini,1gemini_d36a4f5d,Unknown,,,,,,
Experiment1,claude,1claude_83a87bf7,Unknown,,,,,,
Test,claude,oldEx1ClaudeUI,CSV,,,,,,
Experiment1Test,claude,1claude_cf5aae70,Unknown,,,,,,
Experiment1,gemini,1gemini_eeace969,Unknown,,,,,,
Experiment1,claude,1claude_b5277e64,Unknown,,,,,,
Experiment1,gemini,1gemini_9d3ae74f,Unknown,,,,,,
Experiment1,claude,1claude_2d74ae2a,Unknown,,,,,,
Experiment1,openai,1openai_da4c8827,Unknown,,,,,,
Experiment1,claude,1claude_e78b0ccd,JSONselfCSVFormat,,,,,,
Experiment1,gemini,1gemini_2413fcfc,JSONselfCSVFormat,,,,,,
Experiment1,claude,2claude_2d74ae2a,JSONselfCSVFormat,,,,,,
Experiment1,claude,3claude_e78b0ccd,JSONselfCSVFormat,,,,,,
Experiment1,gemini,3gemini_2413fcfc,JSONselfCSVFormat,,,,,,
Experiment1,gemini,2gemini_9d3ae74f,JSONselfCSVFormat,,,,,,
Experiment1,openai,1openai_55b7eaf6,JSONselfCSVFormat,,,,,,
Experiment1,openai,3openai_65526f2d,JSONselfCSVFormat,,,,,,
Experiment1,openai,2openai_da4c8827,JSONselfCSVFormat,,,,,,
experiment_5,gemini,0gemini_39a2eaa5,JSONdimensional,,,,,,
experiment_5,openai,0openai_656d1dca,JSONdimensional,,,,,,
Exp1AcrossOpenAi,openai,1openai_fad70694,JSONselfCSVFormat,,,,,,
Exp1AcrossOpenAi,openai,1openai_51991d01,JSONselfCSVFormat,,,,,,
Exp1AcrossOpenAi,openai,1openai_bdc351e4,JSONselfCSVFormat,,,,,,
Exp1AcrossOpenAi,gpt-5.4,1openai_f3e663aa,JSONselfCSVFormat,,,,,,
Exp1AcrossOpenAi,gpt-5.4-mini,1openai_f7636da9,JSONselfCSVFormat,,,,,,
Exp1AcrossOpenAi,gpt-5.4-nano,1openai_d91939fe,JSONselfCSVFormat,,,,,,
Exp1AcrossOpenAi,gpt-5.4-nano,2openai_21d5d7ce,JSONselfCSVFormat,,,,,,
Exp1AcrossOpenAi,gpt-5.4,1openai_5483c195,JSONselfCSVFormat,,,,,,
Exp1AcrossOpenAi,gpt-5.4-mini,1openai_5f7e13f7,JSONselfCSVFormat,,,,,,
Exp1AcrossOpenAi,gpt-5.4,3openai_6594eca6,JSONselfCSVFormat,,,,,,
Exp1AcrossOpenAi,gpt-5.4-nano,3openai_827567f2,JSONselfCSVFormat,,,,,,
