Category,Game
Number & symbol logic,Sudoku
Number & symbol logic,Hitori
Number & symbol logic,Ripple Effect
Number & symbol logic,Makaro
Number & symbol logic,Nansuke
Number & symbol logic,Juosan
Number & symbol logic,Kurodoko
Number & symbol logic,Usowan
Path & loop drawing,Slitherlink
Path & loop drawing,Masyu
Path & loop drawing,Moon-or-Sun
Path & loop drawing,Dotchi-Loop
Path & loop drawing,Mid-loop
Path & loop drawing,Nagareru
Path & loop drawing,Suraromu
Path & loop drawing,Hebi
Path & loop drawing,Pencils
Region division,Fillomino
Region division,Shikaku
Region division,Five Cells
Region division,Double Choco
Region division,LITS
Region division,Norinori
Region division,Nuritwin
Region division,Evolomino
Region division,Sashigane
Object placement & movement,Yosenabe
Object placement & movement,Satogaeri
Object placement & movement,Chained Block
Object placement & movement,Numberlink
Object placement & movement,Sto-stone
Object placement & movement,Choco Banana
Cell painting & shading,Nurikabe
Cell painting & shading,Tilepaint
Cell painting & shading,Shakashaka
Cell painting & shading,Nurimeizu
Cell painting & shading,Nurimisaki
Connection & bridges,Hashiwokakero
Area & constraint logic,Heyawake
Area & constraint logic,Kurotto
Area & constraint logic,Akari
Area & constraint logic,Yajilin
