Category,Game
Loop Construction,Dotchi-Loop
Loop Construction,Hebi
Loop Construction,Masyu
Loop Construction,Mid-loop
Loop Construction,Slitherlink
Loop Construction,Suraromu
Cell Shading & Deduction,Heyawake
Cell Shading & Deduction,Hitori
Cell Shading & Deduction,Kurodoko
Cell Shading & Deduction,Norinori
Cell Shading & Deduction,Nurikabe
Cell Shading & Deduction,Nuritwin
Cell Shading & Deduction,Sto-stone
Cell Shading & Deduction,Usowan
Region Partitioning & Polyominoes,Chained Block
Region Partitioning & Polyominoes,Choco Banana
Region Partitioning & Polyominoes,Double Choco
Region Partitioning & Polyominoes,Evolomino
Region Partitioning & Polyominoes,Fillomino
Region Partitioning & Polyominoes,Five Cells
Region Partitioning & Polyominoes,LITS
Region Partitioning & Polyominoes,Shikaku
Numerical Placement,Juosan
Numerical Placement,Makaro
Numerical Placement,Nansuke
Numerical Placement,Ripple Effect
Numerical Placement,Sudoku
Pathfinding & Connectivity,Hashiwokakero
Pathfinding & Connectivity,Nagareru
Pathfinding & Connectivity,Numberlink
Pathfinding & Connectivity,Pencils
Pathfinding & Connectivity,Sashigane
Direction & Visibility Logic,Akari
Direction & Visibility Logic,Nurimeizu
Direction & Visibility Logic,Nurimisaki
Direction & Visibility Logic,Shakashaka
Direction & Visibility Logic,Yajilin
Object Movement & Area Fulfillment,Kurotto
Object Movement & Area Fulfillment,Moon-or-Sun
Object Movement & Area Fulfillment,Satogaeri
Object Movement & Area Fulfillment,Tilepaint
Object Movement & Area Fulfillment,Yosenabe
