Category,Game
Loop-Based Puzzles,Dotchi-Loop
Loop-Based Puzzles,Masyu
Loop-Based Puzzles,Mid-loop
Loop-Based Puzzles,Moon-or-Sun
Loop-Based Puzzles,Slitherlink
Loop-Based Puzzles,Suraromu
Cell-Shading Puzzles,Akari
Cell-Shading Puzzles,Heyawake
Cell-Shading Puzzles,Hitori
Cell-Shading Puzzles,Kurodoko
Cell-Shading Puzzles,Norinori
Cell-Shading Puzzles,Usowan
Cell-Shading Puzzles,Yajilin
Grid-Partitioning Puzzles,Chained Block
Grid-Partitioning Puzzles,Evolomino
Grid-Partitioning Puzzles,Fillomino
Grid-Partitioning Puzzles,Five Cells
Grid-Partitioning Puzzles,LITS
Grid-Partitioning Puzzles,Shikaku
Number-Placement Puzzles,Juosan
Number-Placement Puzzles,Kurotto
Number-Placement Puzzles,Makaro
Number-Placement Puzzles,Nansuke
Number-Placement Puzzles,Ripple Effect
Number-Placement Puzzles,Sudoku
Path and Connectivity Puzzles,Hashiwokakero
Path and Connectivity Puzzles,Hebi
Path and Connectivity Puzzles,Nagareru
Path and Connectivity Puzzles,Numberlink
Path and Connectivity Puzzles,Pencils
Shaded-Island Puzzles,Nurikabe
Shaded-Island Puzzles,Nurimeizu
Shaded-Island Puzzles,Nurimisaki
Shaded-Island Puzzles,Nuritwin
Shaded-Island Puzzles,Sto-stone
Shaded-Island Puzzles,Tilepaint
Geometric Shape and Movement Puzzles,Choco Banana
Geometric Shape and Movement Puzzles,Double Choco
Geometric Shape and Movement Puzzles,Sashigane
Geometric Shape and Movement Puzzles,Satogaeri
Geometric Shape and Movement Puzzles,Shakashaka
Geometric Shape and Movement Puzzles,Yosenabe
